Date,Model,Percentage,Average Score,Scores,Number of groups,Total number of groups,Number of samples,Number of iterations,Batch size
2021-04-17 12:13:49.665535,Simple,2,0.8899999999999999,"[1.0, 0.85, 0.95, 0.85, 0.85, 0.95, 0.85, 0.85, 0.8, 0.95]",64,3248,10,1,1000
2021-04-18 11:55:00.162871,Simple,1,0.6449999999999999,"[0.65, 0.75, 0.7, 0.7, 0.55, 0.6, 0.5, 0.7, 0.75, 0.55]",9,923,10,1,1000
